Clique number;Diameter;Edge connectivity;Matching number;Planar ;Radius;Vertex connectivity;Largest L-eigenvalue ;Second largest Eigenvalue;Smallest Eigenvalue;Laplacian spectrum;Chromatic Number;Girth;Group Size;Domination number;Independence number;Chromatic Index
2.0000000;6.0000000;3.0000000;15.0000000;0.0000000;5.0000000;3.0000000;5.6199100;2.6771800;-2.6199100;0.3228200;3.0000000;5.0000000;1.0000000;9.0000000;13.0000000;4.0000000
2.0000000;6.0000000;3.0000000;15.0000000;0.0000000;4.0000000;3.0000000;5.6153300;2.7318700;-2.6153300;0.2681300;3.0000000;4.0000000;1.0000000;8.0000000;13.0000000;4.0000000
2.0000000;6.0000000;3.0000000;15.0000000;0.0000000;4.0000000;3.0000000;5.6270500;2.7575300;-2.6270500;0.2424700;3.0000000;5.0000000;1.0000000;9.0000000;13.0000000;4.0000000
2.0000000;6.0000000;3.0000000;15.0000000;0.0000000;4.0000000;3.0000000;5.6299700;2.7576800;-2.6299700;0.2423200;3.0000000;5.0000000;1.0000000;9.0000000;13.0000000;4.0000000
2.0000000;5.0000000;3.0000000;15.0000000;0.0000000;4.0000000;3.0000000;5.5709300;2.6208500;-2.5709300;0.3791500;3.0000000;5.0000000;1.0000000;9.0000000;13.0000000;4.0000000
2.0000000;6.0000000;3.0000000;15.0000000;0.0000000;4.0000000;3.0000000;5.7403400;2.5907800;-2.7403400;0.4092200;3.0000000;5.0000000;1.0000000;8.0000000;13.0000000;4.0000000
2.0000000;5.0000000;3.0000000;15.0000000;0.0000000;4.0000000;3.0000000;5.5871200;2.5788300;-2.5871200;0.4211700;3.0000000;5.0000000;1.0000000;8.0000000;13.0000000;4.0000000
2.0000000;6.0000000;3.0000000;15.0000000;0.0000000;4.0000000;3.0000000;5.7010200;2.5970200;-2.7010200;0.4029800;3.0000000;5.0000000;1.0000000;8.0000000;13.0000000;4.0000000
2.0000000;5.0000000;3.0000000;15.0000000;0.0000000;4.0000000;3.0000000;5.7036500;2.6284400;-2.7036500;0.3715600;3.0000000;5.0000000;1.0000000;8.0000000;13.0000000;4.0000000
2.0000000;6.0000000;3.0000000;15.0000000;0.0000000;4.0000000;3.0000000;5.5746000;2.6506000;-2.5746000;0.3494000;3.0000000;5.0000000;1.0000000;8.0000000;13.0000000;4.0000000
2.0000000;6.0000000;3.0000000;15.0000000;0.0000000;5.0000000;3.0000000;5.7127100;2.7676600;-2.7127100;0.2323400;3.0000000;5.0000000;2.0000000;8.0000000;13.0000000;4.0000000
